1,New Subscriber on your website : user email,1,,,,,,,notification,notification_created,,,
2,A User unsubscribed from all your lists : user email,1,,,,,,,notification,notification_unsuball,,,
3,A User unsubscribed : user email,1,,,,,,,notification,notification_unsub,,,
4,A User refuses to receive e-mails from your website : user email A:L,1,,,,,,,notification,notification_refuse,,,
5,New contact from your website : user email,1,,,,,,,notification,notification_contact,,,
6,A user confirm his subscription : user email,1,,,,,,,notification,notification_confirm,,,
7,subtag:name ucfirst trans:PLEASE_CONFIRM_SUB,1,,,,,,,notification,confirmation,,,
8,Tourism Engine Cron Report mainreport,1,,,,,,,notification,report,,,
9,Modify your subscription,1,,,,,,,notification,modif,,,
10,trans:COM_USERS_EMAIL_ACCOUNT_DETAILS param1 param2,0,,,,,,,joomlanotification,joomla-directReg,,,
11,trans:COM_USERS_EMAIL_ACCOUNT_DETAILS param1 param2,0,,,,,,,joomlanotification,joomla-ownActivReg,,,
12,trans:COM_USERS_EMAIL_ACCOUNT_DETAILS param1 param2,0,,,,,,,joomlanotification,joomla-ownActivRegNoPwd,,,
13,trans:COM_USERS_EMAIL_ACCOUNT_DETAILS param1 param2,0,,,,,,,joomlanotification,joomla-adminActivReg,,,
14,trans:COM_USERS_EMAIL_ACCOUNT_DETAILS param1 param2,0,,,,,,,joomlanotification,joomla-adminActivRegNoPwd,,,
15,trans:COM_USERS_EMAIL_USERNAME_REMINDER_SUBJECT param1,0,,,,,,,joomlanotification,joomla-usernameReminder,,,
16,trans:COM_USERS_EMAIL_ACTIVATED_BY_ADMIN_ACTIVATION_SUBJECT param1 param2,0,,,,,,,joomlanotification,joomla-confirmActiv,,,
17,trans:COM_USERS_EMAIL_PASSWORD_RESET_SUBJECT param1,0,,,,,,,joomlanotification,joomla-resetPwd,,,
77,Welcome to The Tourism Engine DEMO Brochure Requst,1,,1399011941,Tourism Engine DEMO,demo@tourism-engine.com,Tourism Engine DEMO,demo@tourism-engine.com,welcome,welcome-to-rio-grande-country,,xmGMGIGw,
100,Welcome to Alamosa Colorado,1,,1423168413,Alamosa Convention & Visitors Bureau,alamosa@tourism-engine.com,Alamosa Convention & Visitors Bureau,honey+alamosa@internethoney.com,welcome,welcome-to-alamosa-colorado,,KhDzI8nd,
97,Hello {subtag:first_name} from Alamosa,1,1506365561,1418338814,"Alamosa, Colorado",alamosa@tourism-engine.com,"Alamosa, Colorado",honey+alamosa@internethoney.com,news,welcome-3rd-party-lead-email,,MNNCRBOT,168
99,Getting Warmer,1,1421166407,1420844314,,,,,news,enews-january-2015,,3flcp45r,164
95,Hello {subtag:first_name} from Alamosa,1,,1418066067,"Alamosa, Colorado",alamosa@tourism-engine.com,"Alamosa, Colorado",honey+alamosa@internethoney.com,welcome,hello_from,,P6NnubLE,
102,Shake off the winter cobwebs,1,1424797200,1424550702,,,,,news,enews-february-2015,,f7d2ffbbe47e35ca2a3a9120a255680a,163
111,Last Trip of Summer,1,1439911800,1439309938,,,,,news,enews-august-2015,,01f0d40e9602491e1a44d4a0f1acd8f7,160
105,Get Ready Get Set Summertime!,1,1430235000,1429398508,,,,,news,enews-april-2015,,9df41c354c19a3d8c3eb5b2840cfe5d2,160
110,Skip the I-70 Traffic and Play Here,1,1436456079,1436368488,,,,,news,enews-july-2015,,78c10a29e68391c056522d511610de16,163
108,Cowboys Music and Sandy Shenanigans,1,1432829400,1432827520,,,,,news,final-enews-may-2015,,gFBLqBBL,160
112,Holiday Happenings,1,1448985600,1448471040,,,,,news,enews-december-2015,,538f97f8deef3dc92c7b71e0318be496,165
113,Adventure's Calling,1,1452618000,1452205390,,,,,news,enews-january-2016,,dabaaef01cd8349f6a781d166ae95d3e,165
114,Get Ready for Summer!,1,1462375800,1462215480,,,,,news,enews-may-2016,,cae1631cb1ef91022a93e34ff3058e31,165
